Id,App_name,Release_date,Genres,User_id,Posted,Recommend,Sentiment_analysis
70,Half-Life,1998-11-08,Action,EizanAratoFujimaki,2015-10-28,True,2
70,Half-Life,1998-11-08,Action,GamerFag,2011-01-27,True,0
70,Half-Life,1998-11-08,Action,76561198020928326,2014-07-01,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",WeiEDKrSat,2013-12-25,True,1
4000,Garry's Mod,2006-11-29,"Indie, Simulation",death-hunter,2014-02-19,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",76561198048353577,2016-05-16,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",KanadeTheNeko,2014-05-29,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",diego9031,2016-07-30,True,1
4000,Garry's Mod,2006-11-29,"Indie, Simulation",76561198090715178,2014-03-28,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",AVATAR715,2014-02-16,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",DemonicWolvz,2015-03-29,True,1
4000,Garry's Mod,2006-11-29,"Indie, Simulation",washington_,2016-08-19,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",Pyromanic,2013-02-15,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",76561198044169764,2015-06-03,True,1
4000,Garry's Mod,2006-11-29,"Indie, Simulation",76561198087010391,2015-04-04,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",tarjla,2013-11-21,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",hellcat59,2014-07-18,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",I_DID_911_JUST_SAYING,2016-06-26,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",TomoeMamiewe,2016-06-24,True,1
4000,Garry's Mod,2006-11-29,"Indie, Simulation",SlutOnTheSpit,2014-01-02,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",Alex680,2014-04-25,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",uradumbtit,2014-08-04,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",darkmassieh,2016-07-06,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",76561198082992295,2014-06-02,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",Astrelt,2015-04-03,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",omgihaveawebpage,2016-03-11,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",de_triggered,2015-07-06,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",BBBirb,2014-01-07,True,1
4000,Garry's Mod,2006-11-29,"Indie, Simulation",76561198064579722,2016-05-24,True,2
4000,Garry's Mod,2006-11-29,"Indie, Simulation",76561198096750939,2015-10-20,True,2
2280,Ultimate Doom,1995-04-30,Action,UTNerd24,2013-12-15,True,0
12160,Midnight Club 2,2003-07-01,Racing,76561198071475367,2016-01-11,True,2
17300,Crysis,2007-11-13,Action,lol_ursuchanoob,2014-01-23,True,2
19900,Far Cry® 2: Fortune's Edition,2008-10-22,Action,76561198099625419,2013-12-22,True,2
9480,Saints Row 2,2009-01-28,Action,711armageddoncarmageddon,2015-07-03,True,2
17410,Mirror's Edge™,2009-01-13,"Action, Adventure",Posiblydead,2012-09-24,True,2
22200,Zeno Clash,2009-04-21,"Action, Indie",76561197970982479,2011-07-15,True,2
10150,Prototype™,2009-06-10,"Action, Adventure",TomoeMamiewe,2014-02-16,True,1
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,Action,76561198092540221,2015-02-12,True,2
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,Action,Michaelele,2014-08-07,True,2
10180,Call of Duty®: Modern Warfare® 2,2009-11-12,Action,washington_,2016-08-19,True,1
10180,Call of Duty®: Modern Warfare® 2,2009-11-12,Action,1337lolroflmao,2013-12-28,True,2
10180,Call of Duty®: Modern Warfare® 2,2009-11-12,Action,76561198028286104,2013-12-26,True,2
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,2009-11-03,Action,76561198030567998,2014-02-23,True,2
22370,Fallout 3: Game of the Year Edition,2009-10-13,RPG,advenger95,2015-06-05,True,2
48700,Mount & Blade: Warband,2010-03-31,"Action, RPG",76561198054540475,2014-02-04,True,2
630,Alien Swarm,2010-07-19,Action,76561197974500703,2010-12-28,True,2
630,Alien Swarm,2010-07-19,Action,armouredmarshmallow,2015-05-24,True,2
630,Alien Swarm,2010-07-19,Action,omgihaveawebpage,2016-03-11,True,2
630,Alien Swarm,2010-07-19,Action,brendoboy,2013-12-30,True,2
57300,Amnesia: The Dark Descent,2010-09-08,"Action, Adventure, Indie",76561197974500703,2010-12-28,True,0
57300,Amnesia: The Dark Descent,2010-09-08,"Action, Adventure, Indie",armouredmarshmallow,2016-03-27,True,2
8930,Sid Meier's Civilization® V,2010-09-21,Strategy,relesprit,2013-12-27,True,2
8930,Sid Meier's Civilization® V,2010-09-21,Strategy,76561198031207016,2014-03-17,True,2
8930,Sid Meier's Civilization® V,2010-09-21,Strategy,76561198040530605,2016-08-03,True,2
47790,Medal of Honor™,2010-10-12,Action,76561198084542731,2014-02-16,True,2
22380,Fallout: New Vegas,2010-10-19,"Action, RPG",1234865654,2014-06-29,True,0
22380,Fallout: New Vegas,2010-10-19,"Action, RPG",Mackus1011,2015-06-18,True,2
22380,Fallout: New Vegas,2010-10-19,"Action, RPG",gamerdude7892,2015-12-04,True,2
12100,Grand Theft Auto III,2002-05-21,Action,diego9031,2015-02-22,True,1
12120,Grand Theft Auto: San Andreas,2005-06-06,Action,maxpaynepillkiller,2015-12-30,True,1
47780,Dead Space™ 2,2011-01-25,Action,darkmassieh,2016-06-28,True,2
39120,RIFT,2013-10-24,"Free to Play, Massively Multiplayer, RPG",Infixation,2013-12-01,True,2
620,Portal 2,2011-04-18,"Action, Adventure",76561198028895010,2012-05-27,True,2
620,Portal 2,2011-04-18,"Action, Adventure",76561198092540221,2015-06-29,True,2
620,Portal 2,2011-04-18,"Action, Adventure",redsncrimson,2016-03-20,True,2
620,Portal 2,2011-04-18,"Action, Adventure",76561198167207237,2015-11-06,True,2
620,Portal 2,2011-04-18,"Action, Adventure",omgihaveawebpage,2016-03-11,True,2
99900,Spiral Knights,2011-06-14,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG",arronlim13,2015-05-28,True,2
21100,F.E.A.R. 3,2011-06-21,Action,chidori_647,2013-11-30,False,0
65790,ARMA: Cold War Assault,2011-08-08,"Action, Simulation, Strategy",armouredmarshmallow,2016-07-20,True,2
